,usernames,tweets,date_and_time,responders,tweet_replies,Responder_time_responder,tweets_norm,tweet_replies_norm
1331,apeluh_gog,"Seharus nya benahi dulu ekonomi rakyat, Jgn terus tambah bnyk hutang. Mau kapan sejahterakan rakyat nya",5/6/19 19:21,OkyS14112600,"Untuk sejahtera itu membutuhkan waktu yg sangat lama, apalagi dengan negara tingkat melahirkan yg tinggi, dan presiden saat ini sedang berjuang untuk membenahi ekonomi, kerja keras presiden saat ini akan terasa untuk 10 - 20 tahun kedepan untuk negara sebesar ini..",5/6/19 19:32,"['seharus', 'nya', 'benahi', 'dulu', 'ekonomi', 'rakyat', 'jangan', 'terus', 'tambah', 'banyak', 'hutang', 'mau', 'kapan', 'sejahterakan', 'rakyat', 'nya']","['untuk', 'sejahtera', 'itu', 'membutuhkan', 'waktu', 'yang', 'sangat', 'lama', 'apalagi', 'dengan', 'negara', 'tingkat', 'melahirkan', 'yang', 'tinggi', 'dan', 'presiden', 'saat', 'ini', 'sedang', 'berjuang', 'untuk', 'membenahi', 'ekonomi', 'kerja', 'keras', 'presiden', 'saat', 'ini', 'akan', 'terasa', 'untuk', '10', '20', 'tahun', 'kedepan', 'untuk', 'negara', 'sebesar', 'ini']"
1332,nabilanabilan2,"Pacarmu bisa disaingi, tapi jodohmu tidak. Usahamu bisa disaingi, tapi rejekimu tidak. Dan apa bila pacaran putus dan usahamu bangkrut, itu ada dua kemunkinan, 1. Di ajak nikah alasan mulu, 2. Usaha malas-malasan dan kurang kreatif.",4/30/19 22:01,tiaagustine235,Kalau saya pilih yg ke 3....tolong pesen SOP  cekernya yg pedess ,4/30/19 23:48,"['pacarmu', 'bisa', 'disaingi', 'tapi', 'jodohmu', 'tidak', 'usahamu', 'bisa', 'disaingi', 'tapi', 'rejekimu', 'tidak', 'dan', 'apa', 'bila', 'pacaran', 'putus', 'dan', 'usahamu', 'bangkrut', 'itu', 'ada', 'dua', 'kemunkinan', '1', 'di', 'ajak', 'nikah', 'alasan', 'mulu', '2', 'usaha', 'malas', 'malasan', 'dan', 'kurang', 'kreatif']","['kalau', 'saya', 'pilih', 'yang', 'ke', '3', 'tolong', 'pesan', 'sop', 'cekernya', 'yang', 'pedess']"
1333,satriosakti_,Pengen ngetweet sharing bisnis dengan alasan untuk cari modal nikah juga boleh nggak ya,5/18/19 21:18,satriosakti_,Bantu retweet & like ya?,5/19/19 2:00,"['pengin', 'ngetweet', 'sharing', 'bisnis', 'dengan', 'alasan', 'untuk', 'cari', 'modal', 'nikah', 'juga', 'boleh', 'enggak', 'ya']","['bantu', 'retweet', 'like', 'ya']"
1334,anandasptrrr,Yg blm beli baju lebaran siapa angkat tangan,5/29/19 22:57,sirijqul,Butuh nya gandengan buat dikenalin sama ortu,5/29/19 23:07,"['yang', 'belum', 'beli', 'baju', 'lebaran', 'siapa', 'angkat', 'tangan']","['butuh', 'nya', 'gandengan', 'buat', 'dikenalin', 'sama', 'orang tua']"
1335,MGalangRamadhan,"Pun apabila yang dimaksud adalah relawan PMI maka seharusnya mengikuti code of conduct gerakan.. Dalam bertugas relawan harus membawa tanda pengenal baik berupa kartu tanda anggota, seragam standar, maupun surat tugas dari pengurus PMI setempat",5/26/19 22:48,SVaramitha,"Sudah masnya, lelah sendiri nanti jika menjelaskan kepada orang-orang yg sudah nda suka duluan. Nda masuk-masuk.",5/27/19 14:47,"['pun', 'apabila', 'yang', 'dimaksud', 'adalah', 'relawan', 'pmi', 'maka', 'seharusnya', 'mengikuti', 'code', 'of', 'conduct', 'gerakan', 'dalam', 'bertugas', 'relawan', 'harus', 'membawa', 'tanda', 'pengenal', 'baik', 'berupa', 'kartu', 'tanda', 'anggota', 'seragam', 'standar', 'maupun', 'surat', 'tugas', 'dari', 'pengurus', 'pmi', 'setempat']","['sudah', 'masnya', 'lelah', 'sendiri', 'nanti', 'jika', 'menjelaskan', 'kepada', 'orang', 'orang', 'yang', 'sudah', 'indak', 'suka', 'duluan', 'indak', 'masuk', 'masuk']"
1336,hadeeeeeeeh,MONYET AMAT SIH IG GA BISA2,5/24/19 18:50,do_andrian,Pakai vpn dung wkkwkw,5/25/19 16:50,"['monyet', 'amat', 'sih', 'ig', 'enggak', 'bisa2']","['pakai', 'vpn', 'dong', 'wkkwkw']"
1337,kaikoprtw,"Di instagram udah ada foto berdua, headernya foto berdua, sampul line foto cewenya. Dulu pas sama aku ga sampe kaya gitu. Tiba tiba udahan ni sama aku, kok langsung jadian ama dia. Hmm gausa ditanya pdkt nya kapan. Ya jelas pas masih pacaran sama aku lah :)",5/24/19 1:32,_pernahbucin,"kok sama yak, pcran lama nggk ada foto berdua, dia mintak putus eh jadian sma yg baru lgsg penuh tu ig foto berdua :(",5/25/19 0:06,"['di', 'instagram', 'sudah', 'ada', 'foto', 'berdua', 'headernya', 'foto', 'berdua', 'sampul', 'line', 'foto', 'cewenya', 'dulu', 'pas', 'sama', 'aku', 'enggak', 'sampai', 'kaya', 'begitu', 'tiba', 'tiba', 'udahan', 'nih', 'sama', 'aku', 'kok', 'langsung', 'jadian', 'sama', 'dia', 'hmm', 'enggak usah', 'ditanya', 'pdkt', 'nya', 'kapan', 'ya', 'jelas', 'pas', 'masih', 'pacaran', 'sama', 'aku', 'lah']","['kok', 'sama', 'ya', 'pcran', 'lama', 'enggak', 'ada', 'foto', 'berdua', 'dia', 'mintak', 'putus', 'eh', 'jadian', 'sama', 'yang', 'baru', 'langsung', 'penuh', 'itu', 'ig', 'foto', 'berdua']"
1338,hartatahtadiana,"Hafal suaranya gatau namanya. - protokoler semua event di uny, dari jaman maba yang ga pernah ganti",5/20/19 18:26,aditya_faku11,Bu lina dong dosen mnj,5/21/19 0:44,"['hafal', 'suaranya', 'enggak tau', 'namanya', 'protokoler', 'semua', 'event', 'di', 'uny', 'dari', 'jaman', 'maba', 'yang', 'enggak', 'pernah', 'ganti']","['bu', 'lina', 'dong', 'dosen', 'mnj']"
1339,PeterPascaRilo,"Terkadang bertanya dalam hati,  rindu ini milik siapa?",5/18/19 22:00,Rehanpalle1,Rindu nya buat dia lah min,5/19/19 2:00,"['terkadang', 'bertanya', 'dalam', 'hati', 'rindu', 'ini', 'milik', 'siapa']","['rindu', 'nya', 'buat', 'dia', 'lah', 'min']"
1340,Nadyakvrista,ra ngakuuuuuu,5/10/19 17:02,Adhivira_,Ojo_ koe ro rigas winggi cupitan le ngombe komik e ,5/10/19 18:46,"['ra', 'ngakuuuuuu']","['ojo', 'koe', 'ro', 'rigas', 'winggi', 'cupitan', 'le', 'ngombe', 'komik', 'e']"
1341,Gmontadaro,"Menurut gw semua presiden ada kontribusinya, tinggal liat siapa yg memutuskan, meng eksekusi dan akselerasi",5/6/19 18:51,revolutia,"Ya artinya Trump punya kontribusi juga bagi ekonomi Amerika. Jangan bilang semua karena Obama atau semua karena Jokowi. Menilai harus objektif, bukan karena like/dislike.",5/6/19 19:32,"['menurut', 'gue', 'semua', 'presiden', 'ada', 'kontribusinya', 'tinggal', 'lihat', 'siapa', 'yang', 'memutuskan', 'meng', 'eksekusi', 'dan', 'akselerasi']","['ya', 'artinya', 'trump', 'punya', 'kontribusi', 'juga', 'bagi', 'ekonomi', 'amerika', 'jangan', 'bilang', 'semua', 'karena', 'obama', 'atau', 'semua', 'karena', 'jokowi', 'menilai', 'harus', 'objektif', 'bukan', 'karena', 'like', 'dislike']"
1342,adivarendita,"giliran beli bawa pulang, mati.",4/30/19 21:45,zulfalova,astagfirulloh. aku.,5/1/19 16:07,"['giliran', 'beli', 'bawa', 'pulang', 'mati']","['astagfirulloh', 'aku']"
1343,herdianameyp,Sekali jajan 84jt yaampun.. Nah saya.. Mau beli tas harga 300rb aja setahun sekali dong yaa kok syedih..,5/18/19 20:06,ratnamuktii,Itupun mikirnya 1 tahun sblumnya :'(,5/19/19 2:00,"['sekali', 'jajan', '84jt', 'yaampun', 'nah', 'saya', 'mau', 'beli', 'tas', 'harga', '300rb', 'saja', 'setahun', 'sekali', 'dong', 'ya', 'kok', 'syedih']","['itupun', 'mikirnya', '1', 'tahun', 'sblumnya']"
1344,TaliUdeng,"Efek pilpres ini memang luar biasa.. Kampret sampe ga teriak2 beras mahal, telor naik turun, susu melorot. Padahal sdah mau lebaran. Ada jga yg teriak2 tiket peswat mahal. Cuma krena takut dipanggil polisi. Buat yg blum trima THR, anggap aja bosmu khilaf",5/29/19 20:49,LegiCnv801,telor naik turun.. Susu mlorot,5/29/19 23:07,"['efek', 'pilpres', 'ini', 'memang', 'luar', 'biasa', 'kampret', 'sampai', 'enggak', 'teriak2', 'beras', 'mahal', 'telor', 'naik', 'turun', 'susu', 'melorot', 'padahal', 'sdah', 'mau', 'lebaran', 'ada', 'juga', 'yang', 'teriak2', 'tiket', 'peswat', 'mahal', 'cuma', 'karena', 'takut', 'dipanggil', 'polisi', 'buat', 'yang', 'blum', 'terima', 'thr', 'anggap', 'saja', 'bosmu', 'khilaf']","['telor', 'naik', 'turun', 'susu', 'mlorot']"
1345,TaliUdeng,Menteri urusan perkemahan...,5/26/19 22:45,Andrian98314937,Wkwkkwkwkwkwwk Kasusnya gmana ya ?? Ogut ngak bs tanya ke TUYUL lg krn diblok ,5/27/19 14:47,"['menteri', 'urusan', 'perkemahan']","['wkwkkwkwkwkwwk', 'kasusnya', 'bagaimana', 'ya', 'ogut', 'enggak', 'bisa', 'tanya', 'ke', 'tuyul', 'lagi', 'karena', 'diblok']"
1346,hasanmangrove,"Yg terlintas di pikiran saya, panda albino obesitas",5/24/19 18:25,cattiesie,Anjir,5/25/19 2:37,"['yang', 'terlintas', 'di', 'pikiran', 'saya', 'panda', 'albino', 'obesitas']",['anjir']
1347,wh014177,Ngomong hoaknya katro banget anygggg.  HOAK HOAK HOWAK,5/24/19 1:16,ignatius_hestu,Hoax,5/25/19 0:06,"['mengomong', 'hoaknya', 'katro', 'banget', 'anygggg', 'hoak', 'hoak', 'howak']",['hoax']
1348,kaikoprtw,"Hallo jodohku, bisa tolong share loc sekarang juga? Aku akan menjemputmu dari orang yang salah. Kamu menjaga jodoh orang. Ini aku jodohmu akan otewe menjemputmu. Ninuninuninu pake ambulance biar cepet..",5/20/19 18:10,LanangeJa6ad,Macet padahal. Semua mua ambulance dipake buat njemput jodohnya kog,5/21/19 0:44,"['halo', 'jodohku', 'bisa', 'tolong', 'share', 'loc', 'sekarang', 'juga', 'aku', 'akan', 'menjemputmu', 'dari', 'orang', 'yang', 'salah', 'kamu', 'menjaga', 'jodoh', 'orang', 'ini', 'aku', 'jodohmu', 'akan', 'otewe', 'menjemputmu', 'ninuninuninu', 'pakai', 'ambulance', 'biar', 'cepat']","['macet', 'padahal', 'semua', 'mua', 'ambulance', 'dipakai', 'buat', 'njemput', 'jodohnya', 'kok']"
