,usernames,tweets,date_and_time,responders,tweet_replies,Responder_time_responder,tweets_norm,tweet_replies_norm
0,JogjaUpdate,tukang sayur lagi ngeslah tossanya,9/27/19 12:39,nvyntieno,Wayahe turu min,9/27/19 13:00,"['tukang', 'sayur', 'lagi', 'ngeslah', 'tossanya']","['wayahe', 'turu', 'min']"
1,RyzkaSihite,Kamu terlalu dewasa buat ku :(,9/29/19 16:50,Iman221089,"Bilang aja ""lu terlalu tua bang""",9/30/19 3:25,"['kamu', 'terlalu', 'dewasa', 'buat', 'ku']","['bilang', 'saja', 'lu', 'terlalu', 'tua', 'bang']"
2,eriskasfna,"""Mama gamau nanyain aku ikut demo apa gak gitu?"" , ""Kamu pasti pinter. Nggak mungkin mau ikut demo yang bisa bikin celaka"". (Maksudnya, aku pasti tau apa yang harus aku lakuin, sekalipun aku ikut demo, pasti aku bakal ikut demo yang sebagaimana mestinya, bukan yang rusuh.)",9/25/19 12:02,eriskasfna,"ya, mama always trust me so well. tapi, aku masih mau disuapin mama kalo pulang, walaupun mama selalu jawab, ""suapin pake kaki ya?""",9/25/19 12:02,"['mama', 'enggak mau', 'nanyain', 'aku', 'ikut', 'demo', 'apa', 'enggak', 'begitu', 'kamu', 'pasti', 'pintar', 'enggak', 'mungkin', 'mau', 'ikut', 'demo', 'yang', 'bisa', 'bikin', 'celaka', 'maksudnya', 'aku', 'pasti', 'tau', 'apa', 'yang', 'harus', 'aku', 'lakuin', 'sekalipun', 'aku', 'ikut', 'demo', 'pasti', 'aku', 'bakal', 'ikut', 'demo', 'yang', 'sebagaimana', 'mestinya', 'bukan', 'yang', 'rusuh']","['ya', 'mama', 'always', 'trust', 'me', 'so', 'well', 'tapi', 'aku', 'masih', 'mau', 'disuapin', 'mama', 'kalo', 'pulang', 'walaupun', 'mama', 'selalu', 'jawab', 'suapin', 'pakai', 'kaki', 'ya']"
3,dhinarnirmala_,Liat video2 aksi kemarin masi aja merinding,9/23/19 14:41,saifuljefri1705,koe ga Melu din,9/23/19 15:45,"['lihat', 'video2', 'aksi', 'kemarin', 'masih', 'saja', 'merinding']","['koe', 'enggak', 'melu', 'din']"
4,pamungkas_yudhy,"Bukan di usg itu, kusus lucitaluna klo hamil di rontgen.",9/19/19 16:42,anes_aulia,Ya allah ,9/19/19 17:29,"['bukan', 'di', 'usg', 'itu', 'kusus', 'lucitaluna', 'kalo', 'hamil', 'di', 'rontgen']","['ya', 'allah']"
5,berdiribebas,Semoga PEMERINTAH bisa membuatkan jembatan alternatif :),9/15/19 16:46,shawnut_,enakan gini. nyebrang sekalian main wahana refreshing,9/13/19 0:48,"['semoga', 'pemerintah', 'bisa', 'membuatkan', 'jembatan', 'alternatif']","['enakan', 'begini', 'nyebrang', 'sekalian', 'main', 'wahana', 'refreshing']"
6,RyzkaSihite,"Semakin dewasa semakin ngerasa : _ñKok gue gini gini aja ya, kayak nya ga guna. Heran banget_",9/13/19 16:46,Asdkamaruddien,"""aamiin""",9/13/19 22:32,"['semakin', 'dewasa', 'semakin', 'merasa', 'kok', 'gue', 'begini', 'begini', 'saja', 'ya', 'kayak', 'nya', 'enggak', 'guna', 'heran', 'banget']",['amin']
7,XyzxxfDPmahaOke,"Urip cen kadang sok lucu ngene, yo pie ya. Aku nek mbok bandingke karo uripmu  yo jelas kalah jauh noo nek babagan materi. Koe mono ijeh di ragati wong tuamu.pak buk langsung metu. La aku? Nek ra tak rewangi pepanas ngalor-ngidul yo ra iso jajan tenan e. Ngono we ijeh nyacati aku.",9/11/19 12:09,annascahyow1,Haalaah terapi ndene,9/8/19 17:02,"['urip', 'cen', 'kadang', 'sok', 'lucu', 'ngene', 'yo', 'pie', 'ya', 'aku', 'nek', 'mbok', 'bandingke', 'karo', 'uripmu', 'yo', 'jelas', 'kalah', 'jauh', 'noo', 'nek', 'babagan', 'materi', 'koe', 'mono', 'ijeh', 'di', 'ragati', 'wong', 'tuamu', 'pak', 'buk', 'langsung', 'metu', 'lah', 'aku', 'nek', 'ra', 'tak', 'rewangi', 'pepanas', 'ngalor', 'ngidul', 'yo', 'ra', 'iso', 'jajan', 'tenan', 'e', 'ngono', 'we', 'ijeh', 'nyacati', 'aku']","['haalaah', 'terapi', 'ndene']"
8,PeterPascaRilo,"Cinta ada sejak jutaan tahun yang lalu, bahkan sejak adam dan hawa diciptakan. Cinta adalah energi yang purba, tetapi cinta selama ribuan tahun ini dijadikan alat dagang. Pertanyaannya, masih kah kau memujanya? Celakalah,",9/9/19 15:39,_dah_yak,"Celakalah, bagi orang-orang yang (lalai) shalat.",9/9/19 17:04,"['cinta', 'ada', 'sejak', 'jutaan', 'tahun', 'yang', 'lalu', 'bahkan', 'sejak', 'adam', 'dan', 'hawa', 'diciptakan', 'cinta', 'adalah', 'energi', 'yang', 'purba', 'tetapi', 'cinta', 'selama', 'ribuan', 'tahun', 'ini', 'dijadikan', 'alat', 'dagang', 'pertanyaannya', 'masih', 'kah', 'kau', 'memujanya', 'celakalah']","['celakalah', 'bagi', 'orang', 'orang', 'yang', 'lalai', 'shalat']"
9,JK_Syahruzah,"Agus...agus, yang banyak ga bayar pajak itu horang kayah gus heuheu... Sampai-sampai dikasih amnesti segala, heuheu",9/7/19 16:50,bapakmu_mana,"Sama kayak anak NTT pedalaman kemarin, JKT = kandang babi. Si Agus ini belom TW aja banyak perusahaan ngumpetin kantornya di perumahan , banyak lagi sih metode penggelapan pajak ini",9/7/19 23:01,"['agus', 'agus', 'yang', 'banyak', 'enggak', 'bayar', 'pajak', 'itu', 'horang', 'kayah', 'gus', 'heuheu', 'sampai', 'sampai', 'dikasih', 'amnesti', 'segala', 'heuheu']","['sama', 'kayak', 'anak', 'ntt', 'pedalaman', 'kemarin', 'jakarta', 'kandang', 'babi', 'si', 'agus', 'ini', 'belom', 'tau', 'saja', 'banyak', 'perusahaan', 'ngumpetin', 'kantornya', 'di', 'perumahan', 'banyak', 'lagi', 'sih', 'metode', 'penggelapan', 'pajak', 'ini']"
10,ulinmaghfiroh,"Nek dosambat rangerti wayah , aku ki yo butuh turu barang je. Esuk awan sore bengi kok meng dadi penasehat wong cidro , nek bayaran ngono :(",9/5/19 16:22,Khsnh_,Halah,9/2/19 17:15,"['nek', 'dosambat', 'rangerti', 'wayah', 'aku', 'ki', 'yo', 'butuh', 'turu', 'barang', 'je', 'esuk', 'awan', 'sore', 'bengi', 'kok', 'meng', 'dadi', 'penasehat', 'wong', 'cidro', 'nek', 'bayaran', 'ngono']",['halah']
11,radisna,"Dulu kalo dapet pacar yg baik dan orang lain liatnya sayang banget selalu dibilang jangan sia-sia in. Tapi ya, namanya manusia haha gabisa meleng dikit pasti bablas. Selama masih mau ya, segala kemelengan yg pernah terjadi dapat dimaafkan. Tapi kalo udah gamau ya wes putus gtu :)",9/3/19 13:24,abheizthe,terus kamu punya pacar apa eendak jadinya?,8/31/19 17:28,"['dulu', 'kalo', 'dapat', 'pacar', 'yang', 'baik', 'dan', 'orang', 'lain', 'lihatnya', 'sayang', 'banget', 'selalu', 'dibilang', 'jangan', 'sia', 'sia', 'in', 'tapi', 'ya', 'namanya', 'manusia', 'haha', 'enggak bisa', 'meleng', 'dikit', 'pasti', 'bablas', 'selama', 'masih', 'mau', 'ya', 'segala', 'kemelengan', 'yang', 'pernah', 'terjadi', 'dapat', 'dimaafkan', 'tapi', 'kalo', 'sudah', 'enggak mau', 'ya', 'wes', 'putus', 'begitu']","['terus', 'kamu', 'punya', 'pacar', 'apa', 'eendak', 'jadinya']"
12,RINDANNGGG,Rajin pake exfo toner yg mengandung AHA/BHA paling engga seminggu 2x. Aku pake produk cosrx yg AHA 7 lumayan ngempesin tp emg ga bisa ilang total nder. Klo mau ilang beneran dilaser katanya,9/1/19 14:55,RINDANNGGG,Oya sama rajin double cleansing,9/1/19 14:56,"['rajin', 'pakai', 'exfo', 'toner', 'yang', 'mengandung', 'aha', 'bha', 'paling', 'enggak', 'seminggu', '2x', 'aku', 'pakai', 'produk', 'cosrx', 'yang', 'aha', '7', 'lumayan', 'ngempesin', 'tapi', 'memang', 'enggak', 'bisa', 'hilang', 'total', 'nder', 'kalo', 'mau', 'hilang', 'benaran', 'dilaser', 'katanya']","['oya', 'sama', 'rajin', 'double', 'cleansing']"
13,deniasdh,"ada apa yang dengan polisi kita?kerasukan semua kayanya, demi apa?melindungi siapa?",9/27/19 10:29,Komengskii,Keseringan main tiktok kayanya,9/27/19 13:00,"['ada', 'apa', 'yang', 'dengan', 'polisi', 'kita', 'kerasukan', 'semua', 'kayanya', 'demi', 'apa', 'melindungi', 'siapa']","['keseringan', 'main', 'tiktok', 'kayanya']"
14,komik_komuk,"Lagu 'BONGKAR' yang bercerita ttg feodalisme, penindasan serta kesewenang-wenangan, juga menyeru kita harus ke jalan, robohkan setan yang berdiri mengangkang kini tergadai pabrik kopi sasetan. Sedih AkutuÛ",9/29/19 16:49,jekosama_,jangan ada saset diantara kita,9/29/19 22:57,"['lagu', 'bongkar', 'yang', 'bercerita', 'tentang', 'feodalisme', 'penindasan', 'serta', 'kesewenang', 'wenangan', 'juga', 'menyeru', 'kita', 'harus', 'ke', 'jalan', 'robohkan', 'setan', 'yang', 'berdiri', 'mengangkang', 'kini', 'tergadai', 'pabrik', 'kopi', 'sasetan', 'sedih', 'akutu']","['jangan', 'ada', 'saset', 'diantara', 'kita']"
15,ummaarizal,"Gabisa tidur mikirin adek adek stm, kok gokil gitu",9/25/19 11:16,muharif26,Karena mereka salah satu ras terkuat wkwkwk...,9/25/19 12:02,"['enggak bisa', 'tidur', 'mikirin', 'adek', 'adek', 'stm', 'kok', 'gila', 'begitu']","['karena', 'mereka', 'salah', 'satu', 'ras', 'terkuat', 'wkwkwk']"
16,cuddlelici0us,"Kebangun gelisah sendiri, rupanya aku kangen hehe",9/23/19 12:28,negativibes,bucin ternyata,9/23/19 15:45,"['kebangun', 'gelisah', 'sendiri', 'rupanya', 'aku', 'kangen', 'hehe']","['bucin', 'ternyata']"
17,NenggPesekk_,Terimakasih telah bersama ku selama ini . semoga kita tetap berjalan walaupun banyak maslah ,9/19/19 15:59,rhenggaaa,#21 ,9/19/19 17:29,"['terima kasih', 'telah', 'bersama', 'ku', 'selama', 'ini', 'semoga', 'kita', 'tetap', 'berjalan', 'walaupun', 'banyak', 'maslah']",[]
18,GuyonWaton,Nglilir ~,9/15/19 14:06,alphapandu,Podo ton..,9/15/19 14:07,['nglilir'],"['podo', 'ton']"
19,fajarjun,"Tahun 2011 pernah undang teman dari KPK untuk kasih kuliah dan brief dlm matkul produksi iklan PSA Anti korupsi . Tidak mau dijemput, Juga Diberi air minum saja tidak diminum. Demi etika, kata teman tsb. Itulah mengapa saya percaya KPK berintegritas",9/13/19 16:37,ghoziyansyah,Yang penting ramah pak heheh,9/13/19 22:32,"['tahun', '2011', 'pernah', 'undang', 'teman', 'dari', 'kpk', 'untuk', 'kasih', 'kuliah', 'dan', 'brief', 'dalam', 'matkul', 'produksi', 'iklan', 'psa', 'anti', 'korupsi', 'tidak', 'mau', 'dijemput', 'juga', 'diberi', 'air', 'minum', 'saja', 'tidak', 'diminum', 'demi', 'etika', 'kata', 'teman', 'tersebut', 'itulah', 'mengapa', 'saya', 'percaya', 'kpk', 'berintegritas']","['yang', 'penting', 'ramah', 'pak', 'heheh']"
20,ketanitem001,Selamat pagi KAmu yang ManIS ,9/11/19 16:59,akubukanhehe,Aku?,9/8/19 17:02,"['selamat', 'pagi', 'kamu', 'yang', 'manis']",['aku']
21,deadindafp7,"saya senang membuat orang lain tertawa, karena saya benci orang yang sedih seperti saya",9/9/19 12:52,LuthfiHidayat_,Selalu ada hal miris dibalik orang yg humoris.,9/10/19 0:18,"['saya', 'senang', 'membuat', 'orang', 'lain', 'tertawa', 'karena', 'saya', 'benci', 'orang', 'yang', 'sedih', 'seperti', 'saya']","['selalu', 'ada', 'hal', 'miris', 'dibalik', 'orang', 'yang', 'humoris']"
22,mitamitumiti,"Pelik tapi tuhh hahaha , mungkin frandanya saking mikir nya pas waktu mau bikin nama jadi ngerasa sebel aja ketika ada yg nyomot.",9/7/19 16:57,agitarp,kakwkwkwkw tapi doik ra mikir yen artes kalik yak ora artes wae jenenge sok diduplikasi . ngono cah dioneke nyolong dagilaaa kayane loro kui franda huhuhuhuhu,9/7/19 23:01,"['pelik', 'tapi', 'tuh', 'hahaha', 'mungkin', 'frandanya', 'saking', 'mikir', 'nya', 'pas', 'waktu', 'mau', 'bikin', 'nama', 'jadi', 'merasa', 'sebel', 'saja', 'ketika', 'ada', 'yang', 'nyomot']","['kakwkwkwkw', 'tapi', 'doik', 'ra', 'mikir', 'yen', 'artes', 'kali', 'ya', 'ora', 'artes', 'wae', 'jenenge', 'sok', 'diduplikasi', 'ngono', 'cah', 'dioneke', 'nyolong', 'dagilaaa', 'kayane', 'loro', 'kui', 'franda', 'huhuhuhuhu']"
23,zakyfahrudin,Iki gaene nyuplay lap ning sadari kopi mbak. Mbien pertama nawarke kae terus teko meneh nganti peng 3 aku langsung jaluk tulung mben 1minggu pisan tak kon nyuplay mbak,9/5/19 12:04,yashintadr,kat saiki isih kon nyuplay po mas?,9/5/19 17:33,"['iki', 'gaene', 'nyuplay', 'lap', 'ning', 'sadari', 'kopi', 'mbak', 'mbien', 'pertama', 'nawarke', 'kae', 'terus', 'teko', 'meneh', 'nganti', 'peng', '3', 'aku', 'langsung', 'jaluk', 'tulung', 'mben', '1minggu', 'pisan', 'tak', 'kon', 'nyuplay', 'mbak']","['kat', 'saiki', 'isih', 'kon', 'nyuplay', 'po', 'mas']"
24,Fadjrinasuganda,"Mbak nanda, saya kangen.",9/3/19 14:38,nabilatvh,Miranda?,8/31/19 17:28,"['mbak', 'nanda', 'saya', 'kangen']",['miranda']
25,ghusurest,"saya tidak menyesal dengan keputusan yg telah saya ambil Agustus lalu , saya cuma berpesan untuk semua manusia yg membaca ini. pikirkan dahulu apa yg akan kamu ambil besok, lusa , minggu depan atau entah kapanpun itu karena efeknya akan mungkin entah selamanya",9/1/19 14:10,ghusurest,"dan yg penting untuk para perokok diluar sana ini untuk kalian ""mending njaluk rokok kancane ketimbang koe njaluk duit wongtuomu nggo tuku rokok"" (lebih baik minta rokok temanmu daripada minta uang orangtuamu untuk beli rokok). peaan terakhir ""jangan lupa cari uang""",9/1/19 14:12,"['saya', 'tidak', 'menyesal', 'dengan', 'keputusan', 'yang', 'telah', 'saya', 'ambil', 'agustus', 'lalu', 'saya', 'cuma', 'berpesan', 'untuk', 'semua', 'manusia', 'yang', 'membaca', 'ini', 'pikirkan', 'dahulu', 'apa', 'yang', 'akan', 'kamu', 'ambil', 'besok', 'lusa', 'minggu', 'depan', 'atau', 'entah', 'kapanpun', 'itu', 'karena', 'efeknya', 'akan', 'mungkin', 'entah', 'selamanya']","['dan', 'yang', 'penting', 'untuk', 'para', 'perokok', 'diluar', 'sana', 'ini', 'untuk', 'kalian', 'mending', 'njaluk', 'rokok', 'kancane', 'ketimbang', 'koe', 'njaluk', 'duit', 'wongtuomu', 'nggo', 'tuku', 'rokok', 'lebih', 'baik', 'minta', 'rokok', 'temanmu', 'daripada', 'minta', 'uang', 'orangtuamu', 'untuk', 'beli', 'rokok', 'peaan', 'terakhir', 'jangan', 'lupa', 'cari', 'uang']"
26,bebebkumamabeth,Wes di tiduriin yoooh kang...,9/27/19 10:00,SatyaJogja_,La kok tangi meneh ,9/27/19 10:02,"['wes', 'di', 'tiduriin', 'yoooh', 'kang']","['lah', 'kok', 'tangi', 'meneh']"
27,septulus,Keliling jogja pagi pagi naik ontel dulu ah,9/29/19 16:47,_yoyostwn,udah di jogja aja nih abang gw. kuy ke pantai,9/29/19 22:57,"['keliling', 'jogja', 'pagi', 'pagi', 'naik', 'ontel', 'dulu', 'ah']","['sudah', 'di', 'jogja', 'saja', 'nih', 'abang', 'gue', 'yuk', 'ke', 'pantai']"
28,bulanalleyosha2,Sesak nafasssssss iniiiii asu lah,9/25/19 10:07,dapannds,"Sabar,jangan mara mara",9/25/19 12:02,"['sesak', 'nafasssssss', 'iniiiii', 'asu', 'lah']","['sabar', 'jangan', 'mara', 'mara']"
29,GuyonWaton,"Kamu lelah, tidurlah ~",9/23/19 10:53,Kabul_B,Oke baik lah saya tidur terlalu sibuk memikirkan rindu sampe lelah begini,9/23/19 15:45,"['kamu', 'lelah', 'tidurlah']","['oke', 'baik', 'lah', 'saya', 'tidur', 'terlalu', 'sibuk', 'memikirkan', 'rindu', 'sampai', 'lelah', 'begini']"
30,prilapratiwi,"Pas pulang subuhan lihat bapak-bapak boncengin anak lakinya naik sepeda pulang dari masjid. YaAllah, sy cuma bisa berharap, suatu saat suami sy nanti orang yg taat dlm mendirikan ibadah dan peduli sm keluarganya.",9/19/19 14:54,ShafiraAviana,Amiinn yaAllah ,9/19/19 18:26,"['pas', 'pulang', 'subuhan', 'lihat', 'bapak', 'bapak', 'boncengin', 'anak', 'lakinya', 'naik', 'sepeda', 'pulang', 'dari', 'masjid', 'yaallah', 'saya', 'cuma', 'bisa', 'berharap', 'suatu', 'saat', 'suami', 'saya', 'nanti', 'orang', 'yang', 'taat', 'dalam', 'mendirikan', 'ibadah', 'dan', 'peduli', 'sama', 'keluarganya']","['amin', 'yaallah']"
31,JogjaUpdate,"wes jam telu seprapat, dhemite ra turu turu ...",9/15/19 13:15,Mas_Ichad,Gwk nguripke tossa,9/15/19 13:17,"['wes', 'jam', 'telu', 'seprapat', 'dhemite', 'ra', 'turu', 'turu']","['gwk', 'nguripke', 'tossa']"
32,GuyonWaton,Sudah ada yang nangis nangis lihat konser belum ?,9/13/19 16:28,HashandyPrastya,rimih wi cah lanang sing nangis nangis ning konser e pakdhe kempot.,9/13/19 16:32,"['sudah', 'ada', 'yang', 'menangis', 'menangis', 'lihat', 'konser', 'belum']","['rimih', 'wi', 'cah', 'lanang', 'sing', 'menangis', 'menangis', 'ning', 'konser', 'e', 'pakdhe', 'kempot']"
33,Dimasrskk_,"Daripada marah, saya memilih diam. Selamat pagii~",9/11/19 16:34,lavidaaqsan,Walah walah isuk isuk kok padu toyoo,9/8/19 17:02,"['daripada', 'marah', 'saya', 'memilih', 'diam', 'selamat', 'pagii']","['walah', 'walah', 'isuk', 'isuk', 'kok', 'padu', 'toyoo']"
34,nicoadytama11,19 hari menuju menjadi pria yang jauh lebih baik.. bismilah ,9/9/19 11:02,ichsann69,Bajingan asu panutan,9/10/19 0:18,"['19', 'hari', 'menuju', 'menjadi', 'pria', 'yang', 'jauh', 'lebih', 'baik', 'bismilah']","['bajingan', 'asu', 'panutan']"
35,ghazali_____,Markus horizon gek ngopo ya ,9/7/19 12:27,ghazali_____,Jebul lg nekeran pik wkwk,9/7/19 23:01,"['markus', 'horizon', 'gek', 'ngopo', 'ya']","['jebul', 'lagi', 'nekeran', 'pik', 'wkwk']"
36,antarprovinsi,": me. : maba. : semester berapa mas? : semester 7 ini, kenapa. : wah, bentar lagi lulus dong? : HAAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA BENTAR LAGI NDOGMU STEMPEL AN :)",9/5/19 11:36,saqibfrd,Doa itu,9/5/19 19:31,"['me', 'maba', 'semester', 'berapa', 'mas', 'semester', '7', 'ini', 'kenapa', 'wah', 'bentar', 'lagi', 'lulus', 'dong', 'haahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha', 'bentar', 'lagi', 'ndogmu', 'stempel', 'an']","['doa', 'itu']"
37,brongkos,ging ga guli guli guli wasap ging ga gu,9/3/19 14:16,mehngopi,sela sela selaho,8/31/19 17:28,"['ging', 'enggak', 'guli', 'guli', 'guli', 'wasap', 'ging', 'enggak', 'gu']","['sela', 'sela', 'selaho']"
38,TaliUdeng,"Aku kok kudu mutah yo krungu wacana WISATA HALAL.. Selama ini mereka berwisata haram gitu?  Ato Indonesia sudah naik level kekudusannya jadi Level Surga?  Sitik2 syariah, sitik2 halal.. Klean itu mau dekat sama Tuhan tpi melupakan manusia? Kwe ki sopooo..",9/1/19 10:59,FarelmaxL,Biarkanlah mereka memainkan kata/narasi. Sing penting JD & rica rica RW lancar. Mantap to cak?,9/1/19 14:12,"['aku', 'kok', 'kudu', 'mutah', 'yo', 'krungu', 'wacana', 'wisata', 'halal', 'selama', 'ini', 'mereka', 'berwisata', 'haram', 'begitu', 'atau', 'indonesia', 'sudah', 'naik', 'level', 'kekudusannya', 'jadi', 'level', 'surga', 'sitik2', 'syariah', 'sitik2', 'halal', 'klean', 'itu', 'mau', 'dekat', 'sama', 'tuhan', 'tapi', 'melupakan', 'manusia', 'kwe', 'ki', 'sopooo']","['biarkanlah', 'mereka', 'memainkan', 'kata', 'narasi', 'sing', 'penting', 'jadi', 'rica', 'rica', 'rw', 'lancar', 'mantap', 'tapi', 'cak']"
39,latifanoora,Bismillah sesuk nemu duit sak kresek,9/27/19 8:41,sigitpamungkasu,Aamiin,9/27/19 10:02,"['bismillah', 'sesuk', 'nemu', 'duit', 'sak', 'kresek']",['amin']
40,Hndkstwn,Tuhan tidak bersama orang orang santuy. Tapi Tuhan bersama orang orang yang menjalankan segala perintah-Nya dan menjauhi segala larangan-Nya,9/29/19 16:31,anggitt_k,Sebelum                     setelah Masa           vs             Masa KkN                               KKN,9/29/19 22:57,"['tuhan', 'tidak', 'bersama', 'orang', 'orang', 'santuy', 'tapi', 'tuhan', 'bersama', 'orang', 'orang', 'yang', 'menjalankan', 'segala', 'perintah', 'nya', 'dan', 'menjauhi', 'segala', 'larangan', 'nya']","['sebelum', 'setelah', 'masa', 'vs', 'masa', 'kkn', 'kkn']"
41,DaviddDivad,Rasane pengen misuh muni asu bajingan ning kok saru..,9/25/19 12:56,yossshh,Saruu su,9/25/19 12:02,"['rasane', 'pengin', 'misuh', 'muni', 'asu', 'bajingan', 'ning', 'kok', 'saru']","['saruu', 'su']"
42,akubiila,pengen ketemu pengen ketemu pengen ketemuu,9/23/19 10:50,akubiila,kok pada ribut si fren,9/23/19 19:50,"['pengin', 'ketemu', 'pengin', 'ketemu', 'pengin', 'ketemuu']","['kok', 'pada', 'ribut', 'si', 'fren']"
43,JogjaUpdate,"03.03 wes jam telu, wayahe dhemit do turu~",9/19/19 13:04,JogjaUpdate,ndang mulih wayahe turu lik ... ~@twottok,9/19/19 13:05,"['03', '03', 'wes', 'jam', 'telu', 'wayahe', 'dhemit', 'do', 'turu']","['ndang', 'mulih', 'wayahe', 'turu', 'lik']"
44,PeterPascaRilo,"Sering disakiti, disekingkuhin, dicuekin sama doi dan masih banyak lainnya lah. Tapi tetep aja mau, sebuta itukah mencintai? Bukannya cinta membuat kita bahagia dan nyaman?",9/15/19 12:26,nisalanisa,Wis tak cobo nglaleake jenengmu soko atiku,9/15/19 16:19,"['sering', 'disakiti', 'disekingkuhin', 'dicuekin', 'sama', 'doi', 'dan', 'masih', 'banyak', 'lainnya', 'lah', 'tapi', 'tetap', 'saja', 'mau', 'sebuta', 'itukah', 'mencintai', 'bukannya', 'cinta', 'membuat', 'kita', 'bahagia', 'dan', 'nyaman']","['wis', 'tak', 'cobo', 'nglaleake', 'jenengmu', 'soko', 'atiku']"
45,barindra_p,Wanita dandan dan membentuk bentuk tubuh kadang bukan untuk memikat lawan jenis tapi berlomba lomba sesama teman wanitanya. Alias wegah kalah saing ,9/13/19 10:25,lalongindica,Nih natural,9/13/19 16:32,"['wanita', 'dandan', 'dan', 'membentuk', 'bentuk', 'tubuh', 'kadang', 'bukan', 'untuk', 'memikat', 'lawan', 'jenis', 'tapi', 'berlomba', 'lomba', 'sesama', 'teman', 'wanitanya', 'alias', 'wegah', 'kalah', 'saing']","['nih', 'natural']"
46,Bege_Nasuha,Ternyata bapak masih peduli sama aku :'( Maafin hamba yaa Allah,9/11/19 10:44,enowdy_,Alhamdulillah,9/8/19 17:02,"['ternyata', 'bapak', 'masih', 'peduli', 'sama', 'aku', 'maafin', 'hamba', 'ya', 'allah']",['alhamdulillah']
47,GuyonWaton,Jam segini bikin story wasap apa ya ? Ada konten ?,9/9/19 10:45,bchingsn,,9/10/19 0:18,"['jam', 'segini', 'bikin', 'story', 'wasap', 'apa', 'ya', 'ada', 'konten']",['nan']
48,adysulaimantoha,Sugeng ndalu,9/7/19 12:24,ImmanuelTito,Ati sing mbien tau ngelarani,9/7/19 23:01,"['sugeng', 'ndalu']","['ati', 'sing', 'mbien', 'tau', 'ngelarani']"
49,riskieswek,Yang bisa mutusin istri siri nya sih. Mending putusin minggat ,9/5/19 11:12,DiajengLrst,"Asli, ngapain banget ngabisin waktu ",9/5/19 11:15,"['yang', 'bisa', 'mutusin', 'istri', 'siri', 'nya', 'sih', 'mending', 'putusin', 'minggat']","['asli', 'mengapa', 'banget', 'ngabisin', 'waktu']"
50,alifiazu,"selamat ulang tahun ibu. aku hanya ingin engkau bahagia Ibu, tak lebih; itu saja",9/3/19 11:09,alifiazu,"makasih eaaaaa mas anjas widiantonoooo berkah dan kebaikan juga smoga slalu mengalir  untukmu mas, allah always with u ",8/31/19 17:28,"['selamat', 'ulang', 'tahun', 'ibu', 'aku', 'hanya', 'ingin', 'engkau', 'bahagia', 'ibu', 'tak', 'lebih', 'itu', 'saja']","['terima kasih', 'eaaaaa', 'mas', 'anjas', 'widiantonoooo', 'berkah', 'dan', 'kebaikan', 'juga', 'semoga', 'selalu', 'mengalir', 'untukmu', 'mas', 'allah', 'always', 'with', 'untuk']"
51,ghusurest,"dan yg penting untuk para perokok diluar sana ini untuk kalian ""mending njaluk rokok kancane ketimbang koe njaluk duit wongtuomu nggo tuku rokok"" (lebih baik minta rokok temanmu daripada minta uang orangtuamu untuk beli rokok). peaan terakhir ""jangan lupa cari uang""",9/1/19 14:12,weaknesspain,aku malah dijaluki karo wong2an sing wis do lulus sma e gus :(,9/1/19 14:12,"['dan', 'yang', 'penting', 'untuk', 'para', 'perokok', 'diluar', 'sana', 'ini', 'untuk', 'kalian', 'mending', 'njaluk', 'rokok', 'kancane', 'ketimbang', 'koe', 'njaluk', 'duit', 'wongtuomu', 'nggo', 'tuku', 'rokok', 'lebih', 'baik', 'minta', 'rokok', 'temanmu', 'daripada', 'minta', 'uang', 'orangtuamu', 'untuk', 'beli', 'rokok', 'peaan', 'terakhir', 'jangan', 'lupa', 'cari', 'uang']","['aku', 'malah', 'dijaluki', 'karo', 'wong2an', 'sing', 'wis', 'do', 'lulus', 'sama', 'e', 'gus']"
52,cindeyrela,"Masa aku pernah dibecandain gini. Kan ceritanya aku lg duduk sama tmn ku yang cantik, tiba-tiba ada yang bilang ""beauty and the beast"" beauty untum temanku, the beast nya untuk aku :"") sambil nunjuk_ :"")) sakit cuy",9/27/19 8:28,senjalang,ish apaan sih temenmu itu km ga layak digituin,9/27/19 8:31,"['masa', 'aku', 'pernah', 'dibecandain', 'begini', 'kan', 'ceritanya', 'aku', 'lagi', 'duduk', 'sama', 'tmn', 'ku', 'yang', 'cantik', 'tiba', 'tiba', 'ada', 'yang', 'bilang', 'beauty', 'and', 'the', 'beast', 'beauty', 'untum', 'temanku', 'the', 'beast', 'nya', 'untuk', 'aku', 'sambil', 'nunjuk', 'sakit', 'cuy']","['ish', 'apaan', 'sih', 'temenmu', 'itu', 'kamu', 'enggak', 'layak', 'dibegitukan']"
