usernames,tweets,date_and_time,responders,tweet_replies,Responder_time_responder
mitamitumiti,"Pelik tapi tuhh hahaha , mungkin frandanya saking mikir nya pas waktu mau bikin nama jadi ngerasa sebel aja ketika ada yg nyomot.",9/7/19 16:57,agitarp,kakwkwkwkw tapi doik ra mikir yen artes kalik yak ora artes wae jenenge sok diduplikasi . ngono cah dioneke nyolong dagilaaa kayane loro kui franda huhuhuhuhu,9/7/19 23:01
zakyfahrudin,Iki gaene nyuplay lap ning sadari kopi mbak. Mbien pertama nawarke kae terus teko meneh nganti peng 3 aku langsung jaluk tulung mben 1minggu pisan tak kon nyuplay mbak,9/5/19 12:04,yashintadr,kat saiki isih kon nyuplay po mas?,9/5/19 17:33
Fadjrinasuganda,"Mbak nanda, saya kangen.",9/3/19 14:38,nabilatvh,Miranda?,8/31/19 17:28
ghusurest,"saya tidak menyesal dengan keputusan yg telah saya ambil Agustus lalu , saya cuma berpesan untuk semua manusia yg membaca ini. pikirkan dahulu apa yg akan kamu ambil besok, lusa , minggu depan atau entah kapanpun itu karena efeknya akan mungkin entah selamanya",9/1/19 14:10,ghusurest,"dan yg penting untuk para perokok diluar sana ini untuk kalian ""mending njaluk rokok kancane ketimbang koe njaluk duit wongtuomu nggo tuku rokok"" (lebih baik minta rokok temanmu daripada minta uang orangtuamu untuk beli rokok). peaan terakhir ""jangan lupa cari uang""",9/1/19 14:12
bebebkumamabeth,Wes di tiduriin yoooh kang...,9/27/19 10:00,SatyaJogja_,La kok tangi meneh ,9/27/19 10:02
septulus,Keliling jogja pagi pagi naik ontel dulu ah,9/29/19 16:47,_yoyostwn,udah di jogja aja nih abang gw. kuy ke pantai,9/29/19 22:57
bulanalleyosha2,Sesak nafasssssss iniiiii asu lah,9/25/19 10:07,dapannds,"Sabar,jangan mara mara",9/25/19 12:02
GuyonWaton,"Kamu lelah, tidurlah ~",9/23/19 10:53,Kabul_B,Oke baik lah saya tidur terlalu sibuk memikirkan rindu sampe lelah begini,9/23/19 15:45
prilapratiwi,"Pas pulang subuhan lihat bapak-bapak boncengin anak lakinya naik sepeda pulang dari masjid. YaAllah, sy cuma bisa berharap, suatu saat suami sy nanti orang yg taat dlm mendirikan ibadah dan peduli sm keluarganya.",9/19/19 14:54,ShafiraAviana,Amiinn yaAllah ,9/19/19 18:26
JogjaUpdate,"wes jam telu seprapat, dhemite ra turu turu ...",9/15/19 13:15,Mas_Ichad,Gwk nguripke tossa,9/15/19 13:17
GuyonWaton,Sudah ada yang nangis nangis lihat konser belum ?,9/13/19 16:28,HashandyPrastya,rimih wi cah lanang sing nangis nangis ning konser e pakdhe kempot.,9/13/19 16:32
Dimasrskk_,"Daripada marah, saya memilih diam. Selamat pagii~",9/11/19 16:34,lavidaaqsan,Walah walah isuk isuk kok padu toyoo,9/8/19 17:02
nicoadytama11,19 hari menuju menjadi pria yang jauh lebih baik.. bismilah ,9/9/19 11:02,ichsann69,Bajingan asu panutan,9/10/19 0:18
ghazali_____,Markus horizon gek ngopo ya ,9/7/19 12:27,ghazali_____,Jebul lg nekeran pik wkwk,9/7/19 23:01
antarprovinsi,": me. : maba. : semester berapa mas? : semester 7 ini, kenapa. : wah, bentar lagi lulus dong? : HAAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA BENTAR LAGI NDOGMU STEMPEL AN :)",9/5/19 11:36,saqibfrd,Doa itu,9/5/19 19:31
brongkos,ging ga guli guli guli wasap ging ga gu,9/3/19 14:16,mehngopi,sela sela selaho,8/31/19 17:28
TaliUdeng,"Aku kok kudu mutah yo krungu wacana WISATA HALAL.. Selama ini mereka berwisata haram gitu?  Ato Indonesia sudah naik level kekudusannya jadi Level Surga?  Sitik2 syariah, sitik2 halal.. Klean itu mau dekat sama Tuhan tpi melupakan manusia? Kwe ki sopooo..",9/1/19 10:59,FarelmaxL,Biarkanlah mereka memainkan kata/narasi. Sing penting JD & rica rica RW lancar. Mantap to cak?,9/1/19 14:12
latifanoora,Bismillah sesuk nemu duit sak kresek,9/27/19 8:41,sigitpamungkasu,Aamiin,9/27/19 10:02
Hndkstwn,Tuhan tidak bersama orang orang santuy. Tapi Tuhan bersama orang orang yang menjalankan segala perintah-Nya dan menjauhi segala larangan-Nya,9/29/19 16:31,anggitt_k,Sebelum                     setelah Masa           vs             Masa KkN                               KKN,9/29/19 22:57
DaviddDivad,Rasane pengen misuh muni asu bajingan ning kok saru..,9/25/19 12:56,yossshh,Saruu su,9/25/19 12:02
akubiila,pengen ketemu pengen ketemu pengen ketemuu,9/23/19 10:50,akubiila,kok pada ribut si fren,9/23/19 19:50
JogjaUpdate,"03.03 wes jam telu, wayahe dhemit do turu~",9/19/19 13:04,JogjaUpdate,ndang mulih wayahe turu lik ... ~@twottok,9/19/19 13:05
PeterPascaRilo,"Sering disakiti, disekingkuhin, dicuekin sama doi dan masih banyak lainnya lah. Tapi tetep aja mau, sebuta itukah mencintai? Bukannya cinta membuat kita bahagia dan nyaman?",9/15/19 12:26,nisalanisa,Wis tak cobo nglaleake jenengmu soko atiku,9/15/19 16:19
barindra_p,Wanita dandan dan membentuk bentuk tubuh kadang bukan untuk memikat lawan jenis tapi berlomba lomba sesama teman wanitanya. Alias wegah kalah saing ,9/13/19 10:25,lalongindica,Nih natural,9/13/19 16:32
Bege_Nasuha,Ternyata bapak masih peduli sama aku :'( Maafin hamba yaa Allah,9/11/19 10:44,enowdy_,Alhamdulillah,9/8/19 17:02
GuyonWaton,Jam segini bikin story wasap apa ya ? Ada konten ?,9/9/19 10:45,bchingsn,,9/10/19 0:18
adysulaimantoha,Sugeng ndalu,9/7/19 12:24,ImmanuelTito,Ati sing mbien tau ngelarani,9/7/19 23:01
riskieswek,Yang bisa mutusin istri siri nya sih. Mending putusin minggat ,9/5/19 11:12,DiajengLrst,"Asli, ngapain banget ngabisin waktu ",9/5/19 11:15
alifiazu,"selamat ulang tahun ibu. aku hanya ingin engkau bahagia Ibu, tak lebih; itu saja",9/3/19 11:09,alifiazu,"makasih eaaaaa mas anjas widiantonoooo berkah dan kebaikan juga smoga slalu mengalir  untukmu mas, allah always with u ",8/31/19 17:28
ghusurest,"dan yg penting untuk para perokok diluar sana ini untuk kalian ""mending njaluk rokok kancane ketimbang koe njaluk duit wongtuomu nggo tuku rokok"" (lebih baik minta rokok temanmu daripada minta uang orangtuamu untuk beli rokok). peaan terakhir ""jangan lupa cari uang""",9/1/19 14:12,weaknesspain,aku malah dijaluki karo wong2an sing wis do lulus sma e gus :(,9/1/19 14:12
cindeyrela,"Masa aku pernah dibecandain gini. Kan ceritanya aku lg duduk sama tmn ku yang cantik, tiba-tiba ada yang bilang ""beauty and the beast"" beauty untum temanku, the beast nya untuk aku :"") sambil nunjukë_ :"")) sakit cuy",9/27/19 8:28,senjalang,ish apaan sih temenmu itu km ga layak digituin,9/27/19 8:31
dedyriyadi,"Doa Malam : Gelisahkan aku sebelum dan selama tidur untuk mengingat mereka yang masih percaya ""Tuhan tidak pernah tidur.""",9/29/19 12:44,manifesaksara,Amin.,9/29/19 12:55
panjiprstyow,Cari merch bmth susah bener geh. Kalo beli yg keluaran sekarang masa kaos doang 500rb keatas. Bajingan.,9/25/19 9:47,ngaabbbb,Yo sablon dewe toh bos murahmeriah hahaha,9/25/19 10:51
TaliUdeng,"Cowo gagah perkasa ketemu cewe.. Co : ML yuk say. Ce : Emang situ kuat brapa lama? Co : 1 jam minimal. Ce : O YAAAAAAA??? Co : yep... 55 mnit ngobrol buat menyelaraskan kemistri, 4 mnit foreplay, maine 1mnit€ Ce..ngunjukke kathok bablas metu kamar..",9/23/19 10:30,pakgu_ndul,Ternyata ilmunya begtu ya mbah,9/23/19 19:50
nhslekha,"Di umur segini udah cape mulai hubungan lagi dari awal cape main2 cape hahahihi tanpa tujuan yg jelas karna nemuin orang yg 1 frekuensi dan nyaman itu susah, kalo mau serius ayo jaga komitmen jaga kepercayaan, tapi kalo mau pergi silakan gerbang terbuka lebar ga bakal dihalangin",9/19/19 12:06,manayapriya,sudah moveon?,9/19/19 13:05
BukanTahalea,"Gatau kalo dibentak pasti nangis, cengeng banget si jadi orang Mon",9/15/19 11:14,namaulun_,Yg sabar ya,9/15/19 11:23
cindyvebiola_,"Rareti urusane trimo meneng anteng. Anteng w dikiro ikut campur, padahal aku b aja.",9/13/19 10:32,awankarifin,,9/13/19 15:29
Putriiisw_,Semangatku ada di lockscreen,9/11/19 8:01,rifkashafrila,Nyemelangi,9/8/19 17:02
Khanifulsanjaya,"Kenalan - cerak - tikung uwong. Kenalan - cerak - tikung uwong. Kenalan - cerak - tikung uwong. Ngono ngono terus, asu asu",9/9/19 10:32,fendy82304669,asu jee mas,9/10/19 11:48
PanggilAjaDan,Kurela pergi pagi pulang pagi hanya untuk menyeruput kopiiiii ......,9/7/19 10:12,dindingrahim,Masukkkk,9/7/19 23:01
dikshin_,"BU-CIN itu enak kok, asalkan dengan orang yang tepat. Nek ra tepat , salah satu merasa tersakiti, cidro ,ambyar kui jenenge BU-YAR",9/5/19 10:23,Rizkyeks,@rieszalbinagtg   DENGER,9/5/19 11:15
ajihola,jangan pernah memandang orang sebelah mata ,9/3/19 10:05,lagibocen,gak usah pake mata sekalian,8/31/19 17:28
fistarossa,Keluhanku seputar ra ndedet. Hessss ra berkembang,9/1/19 11:16,izaladik,"Ra nde yang, Dewe,wani",9/1/19 14:12
RyzkaSihite,"Udah coba ikut unjuk rasa,Eh dia nya ga punya rasa...",9/27/19 7:17,JinggaGustiawan,Semoga perasaan kita baik-baik saja.,9/27/19 8:31
JogjaUpdate,tukang sayur lagi ngeslah tossanya,9/29/19 12:31,sambeltomatijo,Awoakwoakwokao omahmu cerak pasar yo min?:v,9/29/19 12:37
deniasdh,"RUU yang disusun bareng"" aja ngawur, apalagi omongan orang per orangnya, makin ambyar..",9/25/19 8:27,azkafazaps,Rapat paripurna aja kosong mba ,9/25/19 10:51
gregoriussap,"Paling seneng liat orang pacaran trus denger kata ""aku tunggu ceritamu besok"". Adem, saling mendengarkan, saling bertukar cerita, penuh makna. Lanjutkan!",9/23/19 11:19,Ramadhaaanisss,Sayangnya belum pacaran ini:',9/23/19 19:50
kelvinrahmadan,"Setelah ditugasin baca bab demokrasi permusyawaratannya ""negara paripurna"" makin bingung mana yg menjadi model demokrasi di negaraku saat ini. Liberal ato deliberatif kah? Ato percampuran di antara keduanya. Sepertinya kita memang senang dengan segala sesuatu yang samar"".",9/19/19 10:53,berharapsedih,Demokrasi duit,9/19/19 11:14
MansyurMaturidi,"Kecewa, abis liat trailer The Santri.  Huftty",9/15/19 10:37,sudahmalem,Yang bikin mba LZ bukan sur?,9/15/19 11:23
nafiaaa__,anjir liat temen jalan sama kating padahal yo nduwe yang dan itu sering terjadi,9/13/19 8:50,Putriiisw_,La bebas to duhh,9/13/19 15:29
JogjaUpdate,"banyak pengendara yang mengabaikan bahwa ada blindspot di setiap kendaraan ... tidak hanya truck atau kendaraan besar, mobil kecil bahkan sepeda motorpun ada blindspotnya ...",9/11/19 7:50,JogjaUpdate,himbauan memperhatikan blindspot ini terutama ditujukan kepada pengendara sepeda motor yang sering tidak sabar antri dalam kemacetan dan berusaha melewati celah celah di antara mobil untuk mendapatkan posisi terdepan.,9/11/19 8:26
oobinnn,"Apa akunya yg berlebihan smpe pada akhirnya org yg deket ama aku sampe ngejauh, apa emang aku gak dikasih kesempatan buat deket sama orang, apa aku harus menutup diri aja? Apa memang aku gak cocok, susah kalo udah kayak gini, apa"" jadi males banget sekarang... Maaf aku ngeluh",9/9/19 16:45,sukaorek,Sabar yaaaa,9/10/19 11:48
Andreas_Ast,Anak anak juga gak bakal ngrokok cuma  karena tulisan rokok dikaos kok,9/7/19 9:02,FCTCuntukID,"Silahkan baca jurnal dan best practice yang sudah banyak di diskusikan dimanapun, google juga bisa. Bahwa jelas ada pengaruh iklan promosi sponsor rokok terhadap perilaku merokok terutama mempengaruhi seseorang untuk men-denormalisasi produk berbahaya ini.",9/7/19 23:01
Andikadodi_,"Kamu nyenengin kalo lagi mabuk, asal jangan muntah, susah.",9/5/19 12:36,hasnakusumaa,Mmm cecek,9/5/19 11:15
radisna,"Ngga tau capek, pengen sambat aja gitu :))",9/3/19 9:57,briliantooo,"sambat ga dosa, aman",8/31/19 17:28
argajayak,"heii Jogja,bersahabatlah denganku.",9/1/19 10:21,a_luckykh,Homsick an ihh,9/1/19 14:12
ekaannass,"Sek misuh dilit, asu.",9/27/19 7:14,JuwitoK,Sabar semene iseh too...,9/27/19 7:29
echimagdalena,Perihal cinta dalam diam. Hingga akhirnya aku memilih untuk menyerah pada pengabaianmu yang luar biasa. Yaoloh kasian mblo~ ,9/29/19 10:35,tertancappisau,Terlanjur dalam,9/29/19 12:37
ivonrush1979,"Dari sinilah intrik mengalir sepanjang lakon,adegan demi adegan selalu disuguhkan dengan plot yang pas dan bersinambungan",9/25/19 7:56,ivonrush1979,"Mampukah gatutkaca menyibak misteri trsbut,trus ada apa dengan murcanya srikandi di ksatrian madukara",9/25/19 7:58
fahru_addin,jika puan tertatih waktu. ada waktu untuk menunggu. pun puan bisa mendoa. menerjemah kata-kata. menjamah peraduan Tuannya. jika kata sebatas doa maka ijinkan saya bersenandung kata-kata mengiring doa membalut mesra kalimat yang menjelma tubuhmu,9/23/19 11:00,fahru_addin,selamat tinggal yang tertanggal. selamat berkisah yang terkasih. selamat rehat yang tertambat dalam doa dan kata kata menyatu dalam jiwa,9/23/19 11:01
AlfrizalEkie,apa kabar teman-teman yang pro jokowi? lambung aman?,9/19/19 11:51,novmhrp,untung bukan aing,9/19/19 12:34
Doriipika,"sudah mo pulang kampung, kasih puas memang pesta di jogja,, karna sampe kmpung jadi anak rumahan ",9/15/19 9:12,Eccooollll,Di kampung nnti main ksini rumah la,9/15/19 11:23
cahyagitaap,"Ngebet dadi selebtwittt po,kabehh kabeh giveaway iphone,kontollll . Mbok giveaway ndasmu kui",9/13/19 8:35,Brodinggg,Marah marah e,9/13/19 10:43
NenggPesekk_,"Aku ki kangen mas. PEKAO LO HIHHHH , GEMES AKU . TAK KRUES KRUES TENAN KOK ",9/11/19 7:21,rhenggaaa,nyohh,9/11/19 8:26
belummandipagi,"Pernah ngga sih kalian bertanya-tanya kenapa salat tahajud harus setelah tidur dulu? Secara syariat ya sudah jelas ketentuannya begitu dengan jumlah rakaat begini dan doa yang begitu. Namun, apa filosofinya?",9/9/19 14:23,hafidhmukmin,"Khilafiyah aside, menurutku kalo bangun setelah tidur itu lebih sulit daripada begadang semalam suntuk, jadi lebih terasa pengorbanannya. Memang berat (2:45-46)",9/10/19 11:48
marellazainenci,kamu jahat sama aku nggapapa,9/7/19 9:01,adhityawisaka,Kamu jahat tp enak,9/7/19 23:01
bikamaulana,"Makasih twitter, udah di kasih media buat misuh2 haha asu",9/5/19 11:08,rskptm,Ningndi we,9/5/19 11:15
Nabiladintaa,"Tolong kak, perginya pamitan yaa :(",9/3/19 9:32,NMWMumtaz,Sedih kalo ngga pamit :(,9/3/19 10:02
TarotkuSolusimu,Bilangin orang laen itu lbh mudah dibanding ngatur pola pikir diri sendiri.,9/1/19 8:42,byxbyss,Suka bener,9/1/19 8:53
andrea_admaja,"Golongan darah kalian apa?Kalo aku ""M""Miskin ",9/27/19 6:46,enaqtauq,P for Punten,9/27/19 7:29
Novitaalfiantii,Ngalonggg terozzzz,9/29/19 10:33,Andriyanto132,Penak too,9/29/19 12:37
ivonrush1979,Setelah mendapat saran dari kresna sewaktu hendak pamit datanglah utusan dri negara manik imantaka utusan prabu ujungsengara,9/25/19 7:54,ivonrush1979,"Dari sinilah intrik mengalir sepanjang lakon,adegan demi adegan selalu disuguhkan dengan plot yang pas dan bersinambungan",9/25/19 7:58
PutriYurinda,Kesel yo kesel tur yo kiro kiro cuk.,9/23/19 10:53,rmdnzl10,"Sampun sampun wayahe tilem, sesok meneh le sambat",9/23/19 11:01
kurakuraturtle,"Kamu _ÑÒtidak sopan_Ñù kepada orang lain ataupun sebaliknya. Jangan marah, bicarakan dengan sebijaknya, karena ada budaya yang dapat merubah pemahaman _ÑÒtidak sopan_Ñù.",9/19/19 11:21,albiannk,Mengencingi teman dari belakang misalnya,9/19/19 12:34
ichafredie,"iya Koh bener, dipotong sebesar 5% dari seluruh pendapatan donasi. kalo transfer donasi dari go-pay, VA, atau kartu kredit juga ada potongan biaya admin di penerima lho.",9/15/19 9:12,aya_ddt,gede amat potongannya... ,9/15/19 11:23
MeitaAde,TERUS BERJUANG SAMPAI LUPA APA ITU RENTA.,9/13/19 8:33,yustianpahlevi,Nggerus ning ati,10/15/19 19:15
TaliUdeng,"Banyak yang bilang, orang baik itu cepet dipanggil Tuhan.. Hayoo sapa yang mau dipanggil Tuhan cepet2 ngacung..!! Biar dianggap orang baik..",9/11/19 7:19,valencia_amara,Kwe mbah,9/11/19 8:26
fadianormalita,wawancara ddd : _ÑÉkamu pengen di design atau dokum?_Ñé.  _ÑÉpengennya design kakk_Ñé.  _ÑÉbiasanya kalo design pake apa?_Ñé. _ÑÉcanva kak_Ñé. _ÑÉgabisa corel/ai/photoshop gt?_Ñé. _ÑÉengga hehehe_Ñé. *menahan diri* *sabar sabar*,9/9/19 11:55,linsiyy,HE INI AKU PAS SMA HAHAHA makanya kuliah ini ogah bgt masuk ddd,9/10/19 11:48
sifaay,"memang benar, tak ada hal yg lebih nikmat drpd rebahan.",9/7/19 8:57,Hamdie19,Penak kelon,9/7/19 23:01
usishhhh,"Sumpaa mo block tu cew tpi bukan wee bgt, tpi sakit hati bgt klo gini teruzzz ",9/5/19 10:50,fildamustik,"Misi mba, numpang ketawa Hahaha",9/5/19 11:15
tugiyantougi,"""Mase latian wonten sanggar mriku? ... SMKI kelas pinten mas?"" Bapak gojek ngiranya aing masih sma wkwkk",9/3/19 7:45,Gunartowahid1,Aing artinya opo den??,9/3/19 10:02
PungkasB,"Kalau one on one, pager oke. Reflek juga bagus. Cuma kadang penempatan nya yg kurang pas, jadi blunder deh....Saya masih percaya racikan coach aji",9/1/19 8:00,MasB00Y,Setuju mas @PungkasB,9/1/19 8:47
Hndkstwn,"Perihal kamu yang telah berbahagia,bagaimana harimu? Aku yakini waktu-waktu yang kau lalui kini diwarnai oleh canda tawa.Perihal kamu yang pernah menjadi tempatku berlabuh,sungguh aku berterimakasih atas segalanya.",9/27/19 6:16,RizkiyawwF,:(:(,9/27/19 7:29
fitriacup,Tidak ada yang bisa mengerti kecuali dirimu sendiri ,9/29/19 10:18,ih_benu,Memang iya?,9/29/19 12:37
JogjaUpdate,"ono sing lagi neng rica kalkun wirobrajan, aku radijak ... padahal aku yo lagi ngelih ...",9/25/19 7:36,oohstaarr,"Hayo to pakde, aku yo ra dijaki ",9/25/19 7:58
GangsarRizkyR,Yaudah streaming.,9/23/19 9:06,meow_leader,smart!,9/23/19 22:36
JogjaUpdate,jebul malam jumat,9/19/19 9:19,anasajalahh,Wayahe wayaheee,9/19/19 9:41
PenjahatGunung,"nek kon ngantri 2 jam yo aku rakuat, aku yo klenger",9/15/19 9:02,ArisBudiGunawa4,Wkwk,9/15/19 9:18
NenggPesekk_,"Ono didi kempot ya ? tak tunggu vidio sobat ambyar sek nyanyi ro nangis"" , koyo biasane kae ",9/13/19 8:22,Rudi05503255,hahaha,9/13/19 9:43
deadindafp7,"satu hal yang harus kamu tau, aku ada disini",9/11/19 6:54,thomas_afs,pikirin sek,9/11/19 8:26
mferian_,"Pengangguran, tapi nek ono niat Insya Allah ono dalan ne..",9/9/19 10:19,ardyanbaguss,Panutanq,9/10/19 11:48
jejaktanya,"Duit e sopo mas? Ga aada pajak, sekolah gratis, kesehatan gratis, sembako murah?duit seko ngendi kui? Lha wong Finland isoh ngono goro2 duit pajake gedhe. Indonesia duit pajak 0.5%-2% wae di sambat",9/7/19 8:18,kidulblumbang,Coba berguru sama pak @ZaimSaidi,9/7/19 23:00
Novitaalfiantii,Bodoamatlahh yang penting mah gue cinta pss selaluu,9/5/19 10:42,whyxngrh,Ngopo e nop,9/5/19 11:15
Kurniawan475,"Menyapa ""sombong amat"", terus tak tanyain kenapa... Eh cuma mau nanya story mantannya -___- gue sombong sebelah mana please",9/3/19 6:54,udingabut535,Mantan yang keberapa nih,9/3/19 10:02
mitaaarhm,masi kepikiran mbamba yg aneh td,9/1/19 7:54,octadestilawat_,sidane pie? di prank?,9/1/19 8:47
icha_nisaps,"belum sukses dihinakaya jadi omongan tetangga",9/27/19 4:53,roxiangga_,Ikhsan sekuter,9/27/19 4:59
radisna,"Tutup rapat pintunya. Bunuh paksa perasaan itu, hingga sakit tak lagi terasa.",9/29/19 10:17,yusufAp__,Berat wkwk,9/29/19 12:37
mariasbn_,aku ki jeh cilik ojo dijok jok i kon rabi terus too,9/25/19 7:33,muhamadbuddiman,Gih pun,9/25/19 7:58
dyanindrabayu,"ni dir. potograpi dkv publish fotonya gercep jg, good job lah pokoknya ",9/23/19 8:27,aninditaratnas,Mau ovo 10jt,9/23/19 22:36
hananapriliaa,"Kalo lagi males malesan gini, pengin jadi rafathar aja. Boleh?",9/19/19 8:05,gatauadus,Pengen jadi kucing,9/19/19 9:41
revald_,"cewe galau, buaya masuk",9/15/19 8:41,dewsimanis,,9/15/19 9:18
glossyuga,"Siapapun nnti yg menang, tolong jaga mereka baik2 ya :)",9/13/19 8:19,glossyuga,"Buat yg udah mikirin ongkirnya brp, aku dom jogja. Cek pakai j&t : yogyakarta, diy. Pakai berdu : diy, yogyakarta, mantrijeron",9/13/19 9:43
jambualas__,Pengen bahagiain kamu tp q missqueen,9/11/19 6:33,upikato,Ketik amin dan lihat apa yg terjadi,9/11/19 8:26
sigitpamungkasu,Golongan orang-orang yang benar-benar memfaatkan tombol like untuk menyimpan tweet yang wahh,9/9/19 10:07,yaleh_yaleh,sy,9/10/19 11:48
simeonggg,Di usia berapakah kalian tau bahwa 'doi' itu singkatan dari Dia Orang Istimewa?,9/7/19 7:42,simeonggg,Kamu kemana aja selama ini?,9/7/19 23:00
ghazali_____,Aku suka e sama km ..,9/5/19 10:10,ghazali_____,.. Indomie rebus rasa jarum super,9/5/19 10:33
tonodiningrat,B I O L O G I  = SENENG PRAKTIK E MALES LAPORANE:(,9/3/19 5:54,teuku_umam,Doyan nglakoni ragelem tanggung jawab wah gotho ki,9/3/19 10:02
