usernames,tweets,date_and_time,responders,tweet_replies,Responder_time_responder
JogjaUpdate,tukang sayur lagi ngeslah tossanya,9/27/19 12:39,nvyntieno,Wayahe turu min,9/27/19 13:00
RyzkaSihite,Kamu terlalu dewasa buat ku :(,9/29/19 16:50,Iman221089,"Bilang aja ""lu terlalu tua bang""",9/30/19 3:25
eriskasfna,"""Mama gamau nanyain aku ikut demo apa gak gitu?"" , ""Kamu pasti pinter. Nggak mungkin mau ikut demo yang bisa bikin celaka"". (Maksudnya, aku pasti tau apa yang harus aku lakuin, sekalipun aku ikut demo, pasti aku bakal ikut demo yang sebagaimana mestinya, bukan yang rusuh.)",9/25/19 12:02,eriskasfna,"ya, mama always trust me so well. tapi, aku masih mau disuapin mama kalo pulang, walaupun mama selalu jawab, ""suapin pake kaki ya?""",9/25/19 12:02
dhinarnirmala_,Liat video2 aksi kemarin masi aja merinding,9/23/19 14:41,saifuljefri1705,koe ga Melu din,9/23/19 15:45
pamungkas_yudhy,"Bukan di usg itu, kusus lucitaluna klo hamil di rontgen.",9/19/19 16:42,anes_aulia,Ya allah ,9/19/19 17:29
berdiribebas,Semoga PEMERINTAH bisa membuatkan jembatan alternatif :),9/15/19 16:46,shawnut_,enakan gini. nyebrang sekalian main wahana refreshing,9/13/19 0:48
RyzkaSihite,"Semakin dewasa semakin ngerasa : _ÑÒKok gue gini gini aja ya, kayak nya ga guna. Heran banget_Ñù",9/13/19 16:46,Asdkamaruddien,"""aamiin""",9/13/19 22:32
XyzxxfDPmahaOke,"Urip cen kadang sok lucu ngene, yo pie ya. Aku nek mbok bandingke karo uripmu  yo jelas kalah jauh noo nek babagan materi. Koe mono ijeh di ragati wong tuamu.pak buk langsung metu. La aku? Nek ra tak rewangi pepanas ngalor-ngidul yo ra iso jajan tenan e. Ngono we ijeh nyacati aku.",9/11/19 12:09,annascahyow1,Haalaah terapi ndene,9/8/19 17:02
PeterPascaRilo,"Cinta ada sejak jutaan tahun yang lalu, bahkan sejak adam dan hawa diciptakan. Cinta adalah energi yang purba, tetapi cinta selama ribuan tahun ini dijadikan alat dagang. Pertanyaannya, masih kah kau memujanya? Celakalah,",9/9/19 15:39,_dah_yak,"Celakalah, bagi orang-orang yang (lalai) shalat.",9/9/19 17:04
JK_Syahruzah,"Agus...agus, yang banyak ga bayar pajak itu horang kayah gus heuheu... Sampai-sampai dikasih amnesti segala, heuheu",9/7/19 16:50,bapakmu_mana,"Sama kayak anak NTT pedalaman kemarin, JKT = kandang babi. Si Agus ini belom TW aja banyak perusahaan ngumpetin kantornya di perumahan , banyak lagi sih metode penggelapan pajak ini",9/7/19 23:01
ulinmaghfiroh,"Nek dosambat rangerti wayah , aku ki yo butuh turu barang je. Esuk awan sore bengi kok meng dadi penasehat wong cidro , nek bayaran ngono :(",9/5/19 16:22,Khsnh_,Halah,9/2/19 17:15
radisna,"Dulu kalo dapet pacar yg baik dan orang lain liatnya sayang banget selalu dibilang jangan sia-sia in. Tapi ya, namanya manusia haha gabisa meleng dikit pasti bablas. Selama masih mau ya, segala kemelengan yg pernah terjadi dapat dimaafkan. Tapi kalo udah gamau ya wes putus gtu :)",9/3/19 13:24,abheizthe,terus kamu punya pacar apa eendak jadinya?,8/31/19 17:28
RINDANNGGG,Rajin pake exfo toner yg mengandung AHA/BHA paling engga seminggu 2x. Aku pake produk cosrx yg AHA 7 lumayan ngempesin tp emg ga bisa ilang total nder. Klo mau ilang beneran dilaser katanya,9/1/19 14:55,RINDANNGGG,Oya sama rajin double cleansing,9/1/19 14:56
deniasdh,"ada apa yang dengan polisi kita?kerasukan semua kayanya, demi apa?melindungi siapa?",9/27/19 10:29,Komengskii,Keseringan main tiktok kayanya,9/27/19 13:00
komik_komuk,"Lagu 'BONGKAR' yang bercerita ttg feodalisme, penindasan serta kesewenang-wenangan, juga menyeru kita harus ke jalan, robohkan setan yang berdiri mengangkang kini tergadai pabrik kopi sasetan. Sedih Akutu€",9/29/19 16:49,jekosama_,jangan ada saset diantara kita,9/29/19 22:57
ummaarizal,"Gabisa tidur mikirin adek adek stm, kok gokil gitu",9/25/19 11:16,muharif26,Karena mereka salah satu ras terkuat wkwkwk...,9/25/19 12:02
cuddlelici0us,"Kebangun gelisah sendiri, rupanya aku kangen hehe",9/23/19 12:28,negativibes,bucin ternyata,9/23/19 15:45
NenggPesekk_,Terimakasih telah bersama ku selama ini . semoga kita tetap berjalan walaupun banyak maslah ,9/19/19 15:59,rhenggaaa,#21 ,9/19/19 17:29
GuyonWaton,Nglilir ~,9/15/19 14:06,alphapandu,Podo ton..,9/15/19 14:07
fajarjun,"Tahun 2011 pernah undang teman dari KPK untuk kasih kuliah dan brief dlm matkul produksi iklan PSA Anti korupsi . Tidak mau dijemput, Juga Diberi air minum saja tidak diminum. Demi etika, kata teman tsb. Itulah mengapa saya percaya KPK berintegritas",9/13/19 16:37,ghoziyansyah,Yang penting ramah pak heheh,9/13/19 22:32
ketanitem001,Selamat pagi KAmu yang ManIS ,9/11/19 16:59,akubukanhehe,Aku?,9/8/19 17:02
deadindafp7,"saya senang membuat orang lain tertawa, karena saya benci orang yang sedih seperti saya",9/9/19 12:52,LuthfiHidayat_,Selalu ada hal miris dibalik orang yg humoris.,9/10/19 0:18
